origin_re,origin_id,origin_bank_id,dest_re,dest_id,dest_bank_id,total_amount,transaction_date
PEER_2,5760604793679,201,PEER_1,1008027069955,101,227.92526947186116,2020-06-11
PEER_2,5760604793679,201,PEER_1,1008027069955,101,147.90822029547272,2020-06-11
PEER_2,5760604793679,201,PEER_1,1008027069955,101,81.21432861866906,2020-06-17
PEER_2,5760604793679,201,PEER_1,1008027069955,101,34.39667614968594,2020-06-11
PEER_2,5760604793679,201,PEER_1,1008027069955,101,66.89130527759406,2020-06-12
PEER_2,5760604793679,201,PEER_1,6160664015653,101,511.4558440158627,2020-06-15
PEER_2,5760604793679,201,PEER_1,6160664015653,101,88.78036975153904,2020-06-11
PEER_2,5760604793679,201,PEER_1,6160664015653,101,286.15493383566377,2020-06-11
PEER_2,5760604793679,201,PEER_1,6160664015653,101,412.1593210113725,2020-06-11
PEER_2,5760604793679,201,PEER_1,6160664015653,101,3006.3331328993954,2020-06-17
PEER_2,5760604793679,201,PEER_1,6160664015653,101,1909.9153213613145,2020-06-12
PEER_2,5760604793679,201,PEER_1,2520582564630,101,77.82145934172628,2020-06-15
PEER_2,5760604793679,201,PEER_1,2520582564630,101,226.33811157810166,2020-06-12
PEER_2,5760604793679,201,PEER_1,2520582564630,101,13.670538971053038,2020-06-11
PEER_2,5760604793679,201,PEER_1,2520582564630,101,96.55515677146768,2020-06-16
PEER_2,5760604793679,201,PEER_1,3536095486227,101,266.67885137245185,2020-06-11
PEER_2,5760604793679,201,PEER_1,3536095486227,101,755.2876435581436,2020-06-17
PEER_2,5760604793679,201,PEER_1,3536095486227,101,70.03649242301755,2020-06-12
PEER_2,5760604793679,201,PEER_1,3536095486227,101,4.077710253530026,2020-06-12
PEER_2,5760604793679,201,PEER_1,3536095486227,101,53.46976218638384,2020-06-17
PEER_2,5760604793679,201,PEER_1,3536095486227,101,1553.2239596774905,2020-06-16
PEER_2,5760604793679,201,PEER_1,6092339674607,101,559.6312662007496,2020-06-16
PEER_2,5760604793679,201,PEER_1,6092339674607,101,18.452983557529677,2020-06-16
PEER_2,5760604793679,201,PEER_1,6092339674607,101,45.73470129349366,2020-06-11
PEER_2,5760604793679,201,PEER_1,6092339674607,101,255.8317928787458,2020-06-12
PEER_2,5760604793679,201,PEER_1,2341473405284,101,142.0392853775718,2020-06-16
PEER_2,5760604793679,201,PEER_1,2341473405284,101,129.1844161311763,2020-06-16
PEER_2,5760604793679,201,PEER_1,2341473405284,101,49.84973558522832,2020-06-17
PEER_2,5760604793679,201,PEER_1,2341473405284,101,249.55714413234074,2020-06-12
PEER_2,5760604793679,201,PEER_1,2341473405284,101,940.6977476077454,2020-06-15
PEER_2,5760604793679,201,PEER_1,2341473405284,101,85.53533284944787,2020-06-17
PEER_2,5760604793679,201,PEER_1,1312614446035,101,2030.7917098134315,2020-06-16
PEER_2,5760604793679,201,PEER_1,1312614446035,101,1138.3328294663397,2020-06-15
PEER_2,5760604793679,201,PEER_1,1312614446035,101,1833.3829648416875,2020-06-17
PEER_2,5760604793679,201,PEER_1,1312614446035,101,398.7809620195964,2020-06-12
PEER_2,5760604793679,201,PEER_1,1312614446035,101,629.0037569004273,2020-06-17
PEER_2,5760604793679,201,PEER_1,6087400580870,101,20.05971615424187,2020-06-17
PEER_2,5760604793679,201,PEER_1,6087400580870,101,220.96956365123745,2020-06-15
PEER_2,5760604793679,201,PEER_1,6087400580870,101,853.587680046835,2020-06-16
PEER_2,5760604793679,201,PEER_1,6087400580870,101,121.20459488149369,2020-06-11
PEER_2,5760604793679,201,PEER_1,6087400580870,101,193.94677684666937,2020-06-12
PEER_2,5760604793679,201,PEER_1,6087400580870,101,37.03943704432157,2020-06-15
PEER_2,5760604793679,201,PEER_1,6087400580870,101,569.9581340419618,2020-06-12
PEER_2,5760604793679,201,PEER_1,6087400580870,101,619.5977783572109,2020-06-16
PEER_2,5760604793679,201,PEER_1,3471622675231,101,791.4459136225503,2020-06-12
PEER_2,5760604793679,201,PEER_1,3471622675231,101,854.3314900256705,2020-06-17
PEER_2,5760604793679,201,PEER_1,3471622675231,101,400.32010693443715,2020-06-11
PEER_2,5760604793679,201,PEER_1,2991568982830,101,125.52036112943011,2020-06-17
PEER_2,5760604793679,201,PEER_1,2991568982830,101,178.5641659720283,2020-06-11
PEER_2,5760604793679,201,PEER_1,5711183387475,101,43.339944069486954,2020-06-15
PEER_2,5760604793679,201,PEER_1,5711183387475,101,971.4840214810837,2020-06-16
PEER_2,5760604793679,201,PEER_1,7988183439642,101,669.0610504710874,2020-06-15
PEER_2,5760604793679,201,PEER_1,7988183439642,101,1311.2049045408912,2020-06-12
PEER_2,5760604793679,201,PEER_1,7988183439642,101,641.5719086688633,2020-06-17
PEER_2,5760604793679,201,PEER_1,7988183439642,101,310.8920962661056,2020-06-16
PEER_2,5760604793679,201,PEER_1,7988183439642,101,76.94639789930747,2020-06-16
PEER_2,5760604793679,201,PEER_1,7988183439642,101,1598.7333708859678,2020-06-17
PEER_2,5760604793679,201,PEER_1,7988183439642,101,1863.7533815322442,2020-06-15
PEER_4,1705613954516,401,PEER_1,7378463412843,101,643.9056981266037,2020-06-16
PEER_4,1705613954516,401,PEER_1,7378463412843,101,3845.2167239928026,2020-06-12
PEER_4,1705613954516,401,PEER_1,7378463412843,101,47.904857037758056,2020-06-11
PEER_4,1705613954516,401,PEER_1,7378463412843,101,4155.948368025808,2020-06-16
PEER_4,1705613954516,401,PEER_1,7378463412843,101,415.1254291777719,2020-06-15
PEER_4,1705613954516,401,PEER_1,7378463412843,101,86.70302024366987,2020-06-17
PEER_4,1705613954516,401,PEER_1,7378463412843,101,165.39872390726114,2020-06-11
PEER_4,1705613954516,401,PEER_1,7378463412843,101,238.82418171703864,2020-06-11
PEER_4,1705613954516,401,PEER_1,4921644966726,101,171.2302130657483,2020-06-12
PEER_4,1705613954516,401,PEER_1,4921644966726,101,2165.162562107575,2020-06-12
PEER_4,1705613954516,401,PEER_1,6085677591342,101,310.59038851884577,2020-06-16
PEER_4,1705613954516,401,PEER_1,6085677591342,101,1708.9633272693463,2020-06-12
PEER_4,1705613954516,401,PEER_1,6085677591342,101,151.8344489145359,2020-06-16
PEER_4,1705613954516,401,PEER_1,6085677591342,101,312.8423488430798,2020-06-15
PEER_4,1705613954516,401,PEER_1,6085677591342,101,162.8814037313247,2020-06-17
PEER_4,1705613954516,401,PEER_1,8259357724091,101,143.69200363895902,2020-06-12
PEER_4,1705613954516,401,PEER_1,8259357724091,101,117.6995172279787,2020-06-15
PEER_4,1705613954516,401,PEER_1,8259357724091,101,1817.7502195937707,2020-06-16
PEER_4,1705613954516,401,PEER_1,8259357724091,101,813.4038949033179,2020-06-15
PEER_4,1705613954516,401,PEER_1,8822282272546,101,393.6992285931281,2020-06-15
PEER_4,1705613954516,401,PEER_1,8822282272546,101,431.4405984623393,2020-06-15
PEER_4,1705613954516,401,PEER_1,8822282272546,101,113.721220643708,2020-06-17
PEER_4,1705613954516,401,PEER_1,8822282272546,101,210.6856851014052,2020-06-15
